"","CC","reg_1992","reg_1994","reg_1996","reg_1998","reg_2000","reg_2002","reg_2004","reg_2006","reg_2008","reg_2010","reg_2012","reg_2014","reg_2016"
"1",1,9704,9002,432588,437711,9712,9974,9937,10462,10482,10160,10003,9824,10096
"2",2,142542,145569,15978596,15796286,164020,162310,170686,183406,189349,193058,195411,200259,207039
"3",3,16103,16635,812959,786303,16137,16835,17414,18797,19307,18865,18300,17999,18819
"4",4,18439,19109,1178820,1177140,20569,20292,20889,23606,25237,24832,24658,23767,24213
"5",5,16717,17122,448281,437913,17869,16238,18234,20808,21538,20987,21051,21265,22108
"6",6,3761,3782,84111,81719,3363,3368,3245,3335,3614,3594,3446,3258,3090
"7",7,35033,32409,1649856,1524380,30480,28718,31151,36675,38855,38456,37935,35201,36184
"8",8,17332,15720,509024,482080,15336,15485,15373,15088,15549,14706,14584,14978,15053
"9",9,17148,17130,648832,627668,17113,16580,17833,19603,19942,19785,19929,20012,20427
"10",10,30556,32000,1019136,1126944,39260,42425,46860,50531,53059,53165,55366,57577,61894
"11",11,14425,14699,1050768,1055016,16065,16398,17114,18136,18582,17978,18172,17799,18423
"12",12,7824,7827,208818,196155,7374,7427,7084,7342,7335,7164,6693,6745,6858
"13",13,19211,20583,489346,496694,25053,27436,29341,31190,31228,31252,31183,32009,32848
"14",14,29285,27876,1309608,1364580,26075,27520,29080,30945,31750,31100,31634,30768,32470
"15",15,4547,4666,125188,120568,4321,4598,4756,5054,5136,4779,4649,4646,4612
"16",16,3034,2992,30450,31500,3254,3329,3370,3424,3561,3467,3529,3504,3653
"17",17,8490,7479,215615,211903,7420,7033,6801,6867,6838,6469,6307,6316,6297
"18",18,27998,28472,1793659,1826463,33357,32469,35049,36799,38334,38079,37979,38160,39432
"19",19,176222,176410,23182562,23594434,206338,193715,217954,234265,241276,237746,240100,248443,258584
"20",20,9243,9406,176434,175256,9521,9528,10217,11135,11136,10906,11162,11397,11777
"21",21,17644,17756,617575,654395,19491,19658,21172,23172,23894,23234,23312,23581,24306
"22",22,10652,10268,330693,307329,9862,9824,9341,9773,9386,8860,8672,8381,8262
"23",23,12016,12362,477555,461799,11793,12110,12647,13401,13532,12757,12154,11741,12223
"24",24,19833,19298,768160,744240,18340,18512,18918,19378,19376,18716,17946,17709,17920
"25",25,22938,24593,1096656,1070564,26227,26935,27285,28532,28712,27803,27706,27914,28323
"26",26,4891,4519,102649,95243,4240,4140,4206,4286,4244,4134,3897,3843,3858
"27",27,688903,656958,283864608,271310256,654483,679019,692450,703471,722777,706490,678074,713621,759132
"28",28,11233,11783,316872,299025,11280,11602,11933,12313,12364,11836,11810,11689,12026
"29",29,10130,10444,377335,379575,11395,11090,11842,12700,13009,12710,12713,12444,12621
"30",30,14923,15471,288108,289980,17731,18471,18939,20896,21331,21560,21698,22090,22928
"31",31,23987,25065,1936662,1874028,24309,25400,25813,26649,26967,26608,26654,26141,27115
"32",32,7206,7102,211170,201180,6721,6530,6317,6392,6442,6232,5922,5908,5985
"33",33,7255,7276,152040,154014,7996,8233,8324,9033,9122,9219,9258,9004,9265
"34",34,22097,23067,1086593,1050262,22479,22794,23130,23846,24736,24310,23549,23214,23720
"35",35,4146,3379,124209,119806,3129,3008,3026,2909,2949,2812,2700,2613,2730
"36",36,8487,8872,288684,268818,8102,8031,7884,7980,7671,7325,7315,7049,7099
"37",37,5897,5274,171105,169653,4983,4944,4929,4846,4802,4634,4445,4352,4226
"38",38,7182,7123,135945,135166,7390,7612,7509,7806,7701,7469,7321,7253,7206
"39",39,2308,2360,32340,32900,2400,2496,2665,2727,2806,2548,2500,2451,2443
"40",40,15116,13978,406406,401708,14562,14576,15105,15837,16388,16289,16222,16044,16502
"41",41,4583,4218,82180,79120,3884,3799,3770,3786,3818,3543,3395,3354,3393
"42",42,14642,14353,459426,444246,13820,13834,14357,14328,14850,13668,13718,13286,13562
"43",43,17820,17804,488768,492632,19098,19806,19433,21170,21007,20813,20214,20203,20669
"44",44,3315,3020,53789,51509,2551,2673,2791,2937,3046,2930,2686,2535,2480
"45",45,6190,6245,351180,323160,5751,5871,5695,5775,5445,5083,4975,4968,5308
"46",46,12912,13267,489695,457801,12124,11965,12182,12457,13136,12777,12120,11858,11805
"47",47,13230,12329,368880,357330,12590,12930,13170,13914,14159,13955,13521,13482,13494
"48",48,11546,11613,294800,293925,12075,12741,13109,14310,14651,14577,14618,14300,14442
"49",49,17176,16896,809529,782481,16673,17999,19053,19118,18979,18230,17998,18463,19085
"50",50,23001,22539,987114,984998,20976,20296,20975,21757,21901,20790,20356,19834,20044
"51",51,5886,5738,166488,160132,5626,5342,5521,5556,5439,5150,5041,4995,5096
"52",52,17372,17438,543182,523187,17377,18204,19099,19706,20114,19661,20213,19221,19992
"53",53,11363,11253,458800,441520,11200,10525,10478,10563,10258,9547,9160,9307,9536
"54",54,4881,4889,159060,152790,4316,4168,4094,4068,3990,3701,3619,3517,3615
"55",55,67774,64620,4356672,4173632,69497,71854,75684,81211,85368,82769,84448,85714,90268
"56",56,30905,31464,2866318,2799797,32031,33608,34168,35538,35722,34822,34826,34337,35745
"57",57,7493,7357,252110,245820,7472,7467,7241,7524,7415,7267,7191,7185,7401
"58",58,13740,12660,630288,630384,14048,15112,16587,16430,16521,15800,15450,15434,15559
"59",59,5706,5704,138048,141288,6064,5919,5431,5462,5544,5338,5071,5067,5369
"60",60,17639,17673,1483760,1407175,15452,15560,16134,16974,17039,16417,16025,15926,16516
"61",61,7092,6910,205170,193770,6756,6749,6822,7263,7365,7281,6951,6824,6898
"62",62,280758,278033,55487114,52287946,282897,285471,303203,310166,317028,297489,279513,292886,305623
"63",63,2943,2733,53540,53420,2579,2456,2329,2501,2500,2414,2307,2151,2157
"64",64,9723,10096,437670,417060,9209,8864,8614,9012,9302,9563,9482,9441,9356
"65",65,10207,9650,368372,356606,9605,9321,8942,9251,9425,9089,8779,8363,8508
