"","CC","CongIR_1992","CongIR_1994","CongIR_1996","CongIR_1998","CongIR_2000","CongIR_2002","CongIR_2004","CongIR_2006","CongIR_2008","CongIR_2010","CongIR_2012","CongIR_2014","CongIR_2016"
"1",1,2573,2632,95786,100110,2337,2774,3322,3065,3313,3682,4179,3499,4862
"2",2,54064,46291,5295745,5347039,65779,72532,86116,63391,78989,66315,86888,62617,103029
"3",3,5745,4658,185710,146608,3846,3893,5105,3414,4186,4487,5327,5392,8097
"4",4,6540,5622,287400,249420,4713,5331,6475,5259,6288,6344,7554,6573,9695
"5",5,6146,5442,110484,100737,4342,6768,9907,7152,8265,6973,9127,6638,12765
"6",6,1349,917,20631,17503,1122,902,975,802,756,736,868,921,1174
"7",7,7567,9579,669084,593736,14125,13706,16533,9829,9244,8584,12199,8121,14527
"8",8,7141,4850,185600,157568,6610,7413,8821,6320,4808,5104,6354,4870,8182
"9",9,3839,3428,101417,99049,2942,3336,4267,3738,4474,5750,6718,5821,7766
"10",10,13506,10319,402272,418592,18598,20862,28254,22854,30283,25886,31646,24522,36219
"11",11,4027,4150,303768,304272,4618,5202,6208,5488,6397,6995,8086,6805,9407
"12",12,2297,1852,47358,37287,2446,1891,1842,1269,1462,1822,1778,1735,2514
"13",13,5005,5275,113586,127204,6891,9015,11139,8708,11425,12584,15033,10492,16150
"14",14,8961,6303,294894,188514,5070,5095,6933,4113,5610,5734,7209,6188,10096
"15",15,1568,1431,31584,29400,1088,1266,1603,1128,1225,1411,1517,1462,2293
"16",16,842,804,7240,7250,722,836,903,798,897,1129,1272,1094,1159
"17",17,3332,2432,73776,61741,2991,3253,3825,2798,2091,2181,2437,2133,3103
"18",18,8089,7877,496603,485570,8999,10411,13301,11920,13436,14964,17599,15308,20873
"19",19,86119,62390,9047398,9436090,88381,84011,110773,84663,114512,92488,114196,82829,100780
"20",20,1939,3689,79743,79002,5101,5561,6422,4014,3459,4261,4819,3680,5823
"21",21,8357,6729,204785,167720,5903,5831,7150,5655,6503,6381,8255,8467,11207
"22",22,2402,4004,149193,117183,4997,5205,5703,3892,2680,2975,3533,2813,4429
"23",23,2310,4690,208767,179010,6018,5720,7134,4196,3593,3461,4144,3408,5286
"24",24,3623,6525,316520,271480,8738,9603,9859,6541,5004,5187,5884,4990,7454
"25",25,5513,9054,463408,503272,12573,9892,13437,11081,14171,12253,14136,10194,13083
"26",26,1606,1353,23782,19780,1009,967,1090,815,781,967,1031,1297,1380
"27",27,242519,228113,109206144,103833792,253490,255510,281028,216921,226746,197112,262689,189764,254005
"28",28,2971,5083,142965,126414,5906,5532,6601,4359,4246,3625,4369,3612,4880
"29",29,4173,3896,103460,98420,3205,3999,4729,4439,4807,5324,6059,4614,6560
"30",30,3814,4266,67176,69174,4998,6091,7656,6419,7958,8340,10772,7502,12020
"31",31,6444,6085,399906,371202,5839,5864,7443,6413,7621,9112,10180,8592,11541
"32",32,2589,2048,61590,53460,2434,2698,3219,2503,1867,2039,2523,2041,3248
"33",33,1819,1922,32319,35553,2008,2399,2967,2673,3284,3500,4028,3027,4507
"34",34,8150,6176,327778,277206,8823,7359,7845,6000,6709,8186,8663,7513,10313
"35",35,999,877,22274,14763,518,445,503,286,397,416,527,572,795
"36",36,2365,1605,43857,40194,1320,1474,2268,1837,1827,2167,2614,2365,3018
"37",37,1910,1238,42405,32637,1666,1233,1349,981,941,1174,1110,1156,1480
"38",38,1614,1567,20805,20862,1197,1345,1639,1539,1668,2335,2681,2138,2734
"39",39,754,640,8428,6818,620,604,704,471,586,698,754,876,1073
"40",40,2895,4693,156049,163705,6111,5572,7630,6232,8230,7231,6542,4639,8078
"41",41,1925,1374,23340,20360,1380,1120,1108,830,868,881,1102,935,1388
"42",42,7729,4111,154704,120450,5475,4500,5395,3439,3782,3733,4378,3917,5752
"43",43,7560,6151,175280,169176,7816,7181,8321,6058,7766,6125,7750,6416,10326
"44",44,991,868,12445,10412,545,567,587,409,392,405,438,591,671
"45",45,1793,1490,74220,52260,1071,1077,1332,797,808,1062,1149,1510,1977
"46",46,5727,4061,170163,144855,5210,6071,6772,5062,4252,4618,5917,4722,6756
