"","CC","CongOther_1992","CongOther_1994","CongOther_1996","CongOther_1998","CongOther_2000","CongOther_2002","CongOther_2004","CongOther_2006","CongOther_2008","CongOther_2010","CongOther_2012","CongOther_2014","CongOther_2016"
"1",1,1103,115,33793,42159,0,1,167,171,10,465,32,312,10
"2",2,30152,2231,399331,1209117,3894,7839,1241,11893,19496,10519,474,5544,3134
"3",3,704,186,17738,17297,274,10,13,178,19,702,699,13,13
"4",4,624,324,36360,34380,324,19,162,205,41,873,630,263,32
"5",5,2227,345,22410,22626,345,1327,16,1329,2064,1347,57,705,39
"6",6,261,131,3841,3174,39,0,0,25,1,151,120,1,0
"7",7,942,328,33540,29900,670,1747,2210,50,1708,1234,58,36,40
"8",8,988,517,26528,19008,119,405,709,11,704,642,28,11,8
"9",9,2357,204,37370,29970,0,15,401,350,21,566,59,650,37
"10",10,3135,1243,78816,94592,371,1491,1368,1229,92,27,67,801,101
"11",11,1934,258,90144,81576,0,11,320,182,15,915,43,572,34
"12",12,301,194,5886,5319,41,2,7,51,5,313,234,4,5
"13",13,2852,251,51480,67716,0,30,625,317,39,1393,96,927,79
"14",14,1662,290,36882,23436,405,31,53,286,57,919,1288,41,47
"15",15,89,57,2576,3052,63,0,2,67,6,193,164,5,1
"16",16,416,55,3700,2870,0,4,190,60,12,134,8,197,7
"17",17,355,199,6931,6960,45,217,328,3,330,283,285,6,6
"18",18,3901,466,134402,132691,0,22,642,386,46,1858,117,960,74
"19",19,12717,3902,819108,1341512,3408,6328,8954,4893,379,1952,343,7369,17406
"20",20,230,141,2641,2451,143,228,398,11,435,557,7,26,5
"21",21,779,216,16415,17990,318,25,10,196,35,1552,1013,32,19
"22",22,166,83,4554,2343,126,217,323,8,394,510,10,9,3
"23",23,166,123,6006,3588,156,247,347,7,477,659,15,12,12
"24",24,826,207,7720,6280,243,361,644,21,728,781,25,14,6
"25",25,776,371,16588,16984,397,1127,828,868,23,24,28,983,2167
"26",26,78,54,1955,1932,88,1,3,40,4,216,152,3,4
"27",27,85571,20025,17746560,18873648,11616,17149,17633,51761,55155,27543,1403,11249,29231
"28",28,274,300,5427,3321,161,243,368,6,458,670,10,2,10
"29",29,206,194,8505,10115,195,13,236,131,12,606,34,390,19
"30",30,2005,256,36558,45990,0,14,406,207,42,967,81,651,74
"31",31,3520,410,149604,114504,0,26,483,378,31,1064,58,652,56
"32",32,328,227,8700,7020,38,191,359,2,349,315,4,1,3
"33",33,912,77,17892,20097,0,6,182,102,14,452,28,365,25
"34",34,903,492,47188,40091,147,19,26,214,31,960,892,15,17
"35",35,53,42,1628,1517,39,3,1,16,3,64,67,4,2
"36",36,865,91,21780,12408,0,7,246,82,6,239,15,200,18
"37",37,238,168,7524,5115,28,0,0,31,2,190,139,4,3
"38",38,677,102,17898,8056,0,13,210,120,14,183,14,235,4
"39",39,70,43,1064,896,34,4,0,36,1,117,96,4,2
"40",40,260,336,12470,14442,196,785,525,598,42,53,23,12,15
"41",41,196,149,3980,3000,42,3,0,31,4,154,165,1,0
"42",42,467,318,17589,15642,88,9,12,112,18,493,576,9,11
"43",43,1421,567,28028,38752,211,16,26,311,28,1274,1377,24,23
"44",44,41,26,1178,874,54,2,2,33,4,108,100,1,4
"45",45,136,92,6180,7920,67,1,0,33,2,169,147,5,2
"46",46,759,421,23236,22422,71,324,546,19,622,847,12,4,7
"47",47,749,468,20670,25530,196,11,0,191,15,969,775,16,4
"48",48,1794,241,29900,35000,0,12,301,189,25,713,42,578,41
"49",49,719,336,107359,64778,135,0,387,245,24,813,50,657,33
"50",50,325,265,18400,13662,458,367,635,33,778,900,23,7,10
"51",51,212,169,7476,4816,38,200,314,4,275,285,305,4,1
"52",52,1012,415,21142,19995,222,763,989,17,709,688,31,13,12
"53",53,638,348,17440,16960,67,417,651,9,549,402,10,9,4
"54",54,106,47,2871,1683,55,2,0,22,3,119,106,4,2
"55",55,1502,565,47872,38848,1062,1673,3077,80,2560,3331,138,69,62
"56",56,627,276,81172,53690,548,19,21,299,31,1685,1206,26,29
"57",57,163,99,4794,4930,103,2,2,63,9,234,246,7,8
"58",58,1877,144,53232,60384,0,10,371,208,22,610,45,556,35
"59",59,433,218,6120,5136,54,237,358,3,326,222,258,1,3
"60",60,483,221,38930,19380,201,17,17,88,20,409,518,14,12
"61",61,150,223,7560,5580,97,4,5,78,10,610,293,10,5
"62",62,24597,10135,4091793,3846683,1096,8636,23564,715,856,11615,16064,10764,22149
"63",63,48,40,780,1160,39,0,0,32,6,70,75,0,4
"64",64,467,197,13410,16200,78,7,6,90,6,406,352,9,8
"65",65,492,295,43586,16761,78,4,4,107,6,528,350,6,8
"66",66,2199,689,27520,19808,443,1268,944,989,45,22,44,472,882
"67",67,295,169,5428,2898,35,171,358,3,359,234,3,4,5
"68",68,163,95,4875,3861,96,4,4,57,9,283,234,2,4
"69",69,14457,1704,1523340,1213278,0,160,3940,2410,236,2898,412,3240,220
"70",70,2959,1459,83853,111144,775,2000,2054,1783,117,39,96,2322,5694
"71",71,5269,450,64464,87624,85,2351,26,2418,4712,2545,110,1563,74
"72",72,529,283,10248,11688,86,5,6,134,16,655,563,10,4
"73",73,3440,894,187523,211464,1381,4160,54,4339,6699,5116,989,1995,130
"74",74,475,449,8242,5798,290,527,969,26,1044,923,23,10,16
"75",75,249,89,6624,4656,108,4,6,59,10,221,221,11,4
"76",76,282,164,8190,8250,31,4,4,52,12,322,179,8,3
"77",77,228,147,11058,13718,269,0,16,191,14,1465,621,6,11
"78",78,92,34,1520,1444,38,0,1,19,3,94,96,0,1
"79",79,250,223,8466,6494,209,315,381,13,533,775,12,516,984
"80",80,172,92,4342,3328,150,1,111,67,5,327,19,242,13
"81",81,190,116,2618,2134,151,331,496,14,503,625,16,7,8
"82",82,17134,2302,237024,501480,2376,5645,3432,5951,7721,5775,5648,5455,7744
"83",83,330,177,6270,6688,40,209,298,5,296,342,5,11,0
"84",84,254,45,2550,1800,52,3,2,25,1,105,90,1,0
"85",85,711,616,27120,17760,498,842,1046,33,1033,1133,41,35,30
"86",86,3724,1892,110466,158118,783,3196,34,3534,7539,3785,191,2251,80
"87",87,245,145,7920,6996,40,5,2,62,3,278,197,5,4
"88",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
