"","CC","Year","CG","SenR","SenD","SenThird","CongR","CongD","CongThird","GovR","GovD","GovThird","SenR_Poll","SenD_Poll","GovR_Poll","GovD_Poll","CC..17","Year..18","CG..19","RLeanFromStateMean","DLeanFromStateMean","PRESyear","SENyear","GOVyear","Total.population","MalePop","FemalePop","Age5Under","Age5to9","Age10to14","Age15to19","Age20To24","Age25to34","Age35to44","Age45to54","Age55to59","Age60to64","Age65to74","Age75to84","Age85Plus","MedianAge","Adults18Plus","Adults21Plus","Adults62Plus","Adults65Plus","Adults18Male","Adults18Female","Adults65Male","Adults65Female","PopTwoOrMore","PopWhite","PopBlack","PopIndianNative","Cherokee","Chippewa","Navajo","Sioux","PopAsian","PopAsianIndian","PopChinese","PopFilipino","PopJapanese","PopKorean","PopVietnamese","PopOtherAsian","PopHawaiian","GuamOrChamarro","Samoan","OtherPacIslander","SomeOtherRace","RaceTwoOrMore","WhiteAndBlack","WhiteAndNative","WhiteAndAsian","WhiteAndAlaska","LoneRaceAndTwoOrMore","NotHispOrLatino","TotHousingUnits","NumVotes","Last.Max.Votes","Two.Max.Votes"
"1",1,2012,8,2810,5628,393,4179,4738,32,0,0,0,1582.2,3283.2,NA,NA,1,2012,8,-0.0583333333333333,0.0274074074074074,1,1,0,15722,7980,7742,763,763,842,784,529,1228,1410,2480,1264,1442,2452,1289,476,310,12853,12472,5051,4217,6512,6341,2084,2133,288,15012,76,266,0,204,0,5,46,5,13,1,2,19,5,1,0,0,0,0,34,288,35,172,36,9,15722,15558,15135,4738,15722,12853
"2",1,2014,8,3136,3709,265,3429,3344,6,3251,3461,197,1960,2450,1974.7,2317.7,1,2014,8,0.0548979591836735,0.00938775510204082,0,1,1,15654,7939,7715,703,819,809,769,521,1285,1335,2295,1314,1455,2558,1347,444,313.1,12830,12482,5214,4349,6487,6343,2135,2214,259,14922,70,348,0,255,5,11,33,5,4,2,3,12,6,1,1,0,0,0,21,259,75,148,21,10,15654,15474,15245,3461,15654,12830
"3",1,2016,8,0,0,0,4862,4167,10,0,0,0,NA,NA,NA,NA,1,2016,8,0.0587037037037037,0.00592592592592593,1,0,0,15335,7817,7518,608,857,778,767,524,1243,1293,2105,1324,1413,2614,1404,405,314.2,12583,12285,5285,4423,6372,6211,2196,2227,385,14521,63,297,6,220,8,10,59,16,7,8,2,10,6,10,2,0,0,0,8,385,128,173,31,14,15335,15161,15317,4862,15335,12583
"4",2,2012,3,9959,20902,1356,17026,14074,52,0,0,0,615.3,1276.8,NA,NA,2,2012,3,0.0495238095238095,-0.0642857142857143,1,1,0,312985,155819,157166,20996,22097,22817,22083,18204,42538,45402,51401,19935,15901,18865,9167,3579,439.8,232639,221608,40494,31611,114888,117751,13964,17647,8238,270276,14041,2030,46,1232,7,102,13072,2268,1799,486,217,1074,1962,5266,69,16,0,5,5259,8238,3161,1998,1624,232,312985,301218,120648,17026,312985,232639
"5",2,2012,5,6464,19491,1366,9477,16852,65,0,0,0,703.2,1459.2,NA,NA,2,2012,5,-0.1,0.04875,1,1,0,312985,155819,157166,20996,22097,22817,22083,18204,42538,45402,51401,19935,15901,18865,9167,3579,439.8,232639,221608,40494,31611,114888,117751,13964,17647,8238,270276,14041,2030,46,1232,7,102,13072,2268,1799,486,217,1074,1962,5266,69,16,0,5,5259,8238,3161,1998,1624,232,312985,301218,120648,16852,312985,232639
"6",2,2012,6,30240,48373,3388,41886,39429,230,0,0,0,1523.6,3161.6,NA,NA,2,2012,6,0.0701923076923077,-0.0888461538461539,1,1,0,312985,155819,157166,20996,22097,22817,22083,18204,42538,45402,51401,19935,15901,18865,9167,3579,439.8,232639,221608,40494,31611,114888,117751,13964,17647,8238,270276,14041,2030,46,1232,7,102,13072,2268,1799,486,217,1074,1962,5266,69,16,0,5,5259,8238,3161,1998,1624,232,312985,301218,120648,41886,312985,232639
"7",2,2014,3,9701,10566,845,12233,8620,26,9978,9959,588,880,1100,886.6,1040.6,2,2014,3,0.0986363636363636,-0.0345454545454545,0,1,1,317204,158185,159019,20618,21578,22970,21160,18660,43326,43718,51457,21819,17191,20921,9795,3991,447.9,238211,227474,44611,34707,117699,120512,15371,19336,9417,270614,16454,1993,100,1133,22,168,13306,2587,1595,479,306,871,2219,5249,72,7,17,3,5348,9417,3212,2164,2323,158,317204,304765,121650,12233,317204,238211
"8",2,2014,5,6052,10777,796,6306,9858,1240,6165,10248,625,960,1200,967.2,1135.2,2,2014,5,-0.08625,0.137083333333333,0,1,1,317204,158185,159019,20618,21578,22970,21160,18660,43326,43718,51457,21819,17191,20921,9795,3991,447.9,238211,227474,44611,34707,117699,120512,15371,19336,9417,270614,16454,1993,100,1133,22,168,13306,2587,1595,479,306,871,2219,5249,72,7,17,3,5348,9417,3212,2164,2323,158,317204,304765,121650,10248,317204,238211
"9",2,2014,6,41033,33249,2829,42919,29233,4142,41977,31081,2166,3200,4000,3224,3784,2,2014,6,0.13625,-0.079875,0,1,1,317204,158185,159019,20618,21578,22970,21160,18660,43326,43718,51457,21819,17191,20921,9795,3991,447.9,238211,227474,44611,34707,117699,120512,15371,19336,9417,270614,16454,1993,100,1133,22,168,13306,2587,1595,479,306,871,2219,5249,72,7,17,3,5348,9417,3212,2164,2323,158,317204,304765,121650,42919,317204,238211
"10",2,2016,3,0,0,0,18593,13129,109,0,0,0,NA,NA,NA,NA,2,2016,3,0.0986363636363636,-0.0345454545454545,1,0,0,322828,161107,161721,20462,21544,22991,20928,19181,43788,43275,50183,23144,18564,23857,10598,4313,451.9,244095,232913,49503,38768,120757,123338,17238,21530,10265,273309,18216,2093,253,1074,25,116,14011,3367,1331,503,211,737,2622,5240,107,15,12,34,4827,10265,3659,2192,2407,79,322828,309192,122979,18593,322828,244095
