"","CC","turnout_1992","turnout_1994","turnout_1996","turnout_1998","turnout_2000","turnout_2002","turnout_2004","turnout_2006","turnout_2008","turnout_2010","turnout_2012","turnout_2014","turnout_2016"
"1",1,7603,6858,349116,365848,7477,8106,9533,8197,9455,7425,9219,7307,9316
"2",2,130018,95106,12812685,13081618,138772,140361,174258,133965,182559,131703,187085,118274,187070
"3",3,13923,11301,656208,610736,13280,13539,17047,13481,17038,11904,16471,12124,17375
"4",4,16162,12390,958740,893400,16470,15547,21426,17139,22313,16187,22189,15567,21718
"5",5,14617,10609,360558,363177,14293,13724,18626,14362,19429,13827,19755,13292,20222
"6",6,3455,2969,69782,66378,2291,2741,3082,2785,3023,2233,2816,2161,2790
"7",7,28064,19925,1324076,1193764,26087,24306,33332,25680,35183,22565,34463,20201,33816
"8",8,13830,10314,399616,367232,12235,11560,13961,11753,13680,10517,14030,9394,13925
"9",9,14919,12117,521330,474488,14274,14389,18487,14259,18530,13780,18545,13970,18374
"10",10,26820,20844,906464,926880,33318,35007,45556,36438,49806,37198,53079,37124,56156
"11",11,12328,10063,873144,835776,12522,12734,16058,12620,16388,13081,16211,12364,16154
"12",12,6724,5633,167616,165861,5998,5965,6678,5541,6393,4905,6248,4696,6284
"13",13,17177,13937,392282,424556,20870,22253,28497,22007,29411,22990,29578,20364,30425
"14",14,23745,15951,1165212,973998,22025,20722,27846,19685,29334,19273,29032,18020,29685
"15",15,3806,3212,99064,91336,3641,3717,4406,3843,4333,3590,4231,2937,4276
"16",16,2628,2477,25430,26910,2611,2909,3321,2924,3362,2858,3343,2948,3437
"17",17,6701,5410,180119,178640,5828,5659,6456,5422,6084,4657,5916,4330,5786
"18",18,24779,20139,1485089,1429570,25500,26882,33666,27670,35299,27658,35067,27065,36148
"19",19,157365,117791,18895848,18511304,170853,170671,216181,167465,225933,162919,231571,152975,233346
"20",20,8027,6318,140961,134463,7792,8302,10017,7694,10253,7988,10399,7765,10734
"21",21,15949,12374,544810,531230,15681,15629,20430,16655,21012,15669,21114,15451,21965
"22",22,9245,7485,275121,270039,7801,7753,8789,7291,8201,6595,7771,5460,7480
"23",23,10732,7995,387348,332241,9865,9450,11798,9426,11287,8466,10946,8476,11177
"24",24,17973,13673,646640,561160,15248,15987,17775,15252,17369,13564,16817,12526,16195
"25",25,21593,16416,898700,886644,21319,20859,25758,20326,25902,19583,25923,17354,25929
"26",26,3688,3208,82524,79994,3337,3325,3841,3183,3629,3069,3509,2888,3522
"27",27,588335,426496,229294800,211568544,534729,521318,647912,494329,665485,470477,682764,451840,685043
"28",28,10547,8279,256986,203742,9793,8857,11173,9154,10953,7952,10517,7995,10724
"29",29,8660,7574,306390,307195,8769,9360,11458,9954,11706,9822,11616,8757,11627
"30",30,13458,10678,234396,246600,14169,15018,19368,14746,20122,14873,20316,13991,21149
"31",31,21602,18916,1621464,1511562,20611,20009,24638,19577,24510,19835,24060,19117,24455
"32",32,6302,5163,177210,156120,5147,5139,5881,5029,5694,4363,5499,3905,5558
"33",33,6313,4862,125958,137907,6397,6533,8351,6587,8536,6593,8188,6292,8232
"34",34,19742,15656,881015,861604,18041,18309,21749,18054,21985,17447,21546,16802,21970
"35",35,3028,2803,102675,88060,2455,2467,2727,2207,2602,2006,2452,1974,2434
"36",36,7500,5812,224004,196548,6176,6155,7402,5731,6834,5119,6514,5406,6435
"37",37,5003,4166,148896,136587,4199,4098,4571,3941,4224,3660,4007,2998,3920
"38",38,6385,5678,115273,112366,6112,6148,7135,6040,6991,5614,6855,5165,6562
"39",39,2221,1807,28504,28770,2013,2234,2422,1961,2328,1907,2247,1930,2269
"40",40,12059,9595,327613,343853,11781,12022,14573,11565,15088,11679,14866,9788,15096
"41",41,3680,3237,68200,63140,3190,3114,3407,2721,3159,2478,3148,2368,3046
"42",42,12432,8885,382074,345873,10948,10154,12782,9543,12773,9002,12461,8423,12310
"43",43,15526,11895,396088,432600,14802,14503,18508,14762,19124,13525,18650,12495,18945
"44",44,2403,2022,42522,37696,2101,2397,2526,2256,2360,1943,2200,1754,2116
"45",45,5853,4954,314940,296640,4971,4923,5648,4474,4781,4316,4935,4164,4905
"46",46,11697,9431,392496,353313,9739,9679,11227,9069,10798,8827,11039,7932,10613
"47",47,10611,8608,291630,320040,10119,10534,12500,10546,12610,9915,12311,9236,12386
