"","CC","USSenDFL_1994","USSenDFL_1996","USSenDFL_2000","USSenDFL_2002","USSenDFL_2006","USSenDFL_2008","USSenDFL_2012","USSenDFL_2014"
"1",1,2991,179916,4306,3855,4701,3893,5628,3788
"2",2,38359,6201012,64681,57511,72660,66800,113611,55410
"3",3,4425,286846,6022,5841,6816,6016,8998,5396
"4",4,5353,498240,8123,7433,9714,10033,13604,8252
"5",5,3702,154089,6396,5807,7295,6485,11542,5877
"6",6,1340,37375,1621,1337,1558,1274,1818,1166
"7",7,8085,667836,12657,11435,14955,14483,21289,10866
"8",8,3277,157312,5295,4404,5852,4435,8149,4270
"9",9,6366,317349,9148,8529,9701,9521,13054,8633
"10",10,6490,341856,12219,11072,16476,14102,28205,14424
"11",11,3898,387648,6289,5013,6356,5888,8996,5445
"12",12,2341,85941,3294,3173,3353,2559,4176,2460
"13",13,5568,187066,9289,8660,11535,9833,16758,8979
"14",14,7163,556902,11647,10454,11086,12067,18607,10229
"15",15,1318,45416,1575,1746,1927,1596,2172,1196
"16",16,1163,11680,1377,1240,1835,1620,2263,1852
"17",17,1970,82592,2807,2606,2771,2131,3457,1982
"18",18,7630,662747,13122,11181,13775,13025,19568,12049
"19",19,48296,8963340,82412,68742,93247,85298,139161,75860
"20",20,2280,60306,3491,3592,3909,3384,5926,3354
"21",21,4041,225260,7257,6154,8429,6856,12199,6879
"22",22,2603,123915,3949,3627,3877,2911,4788,2502
"23",23,3213,181311,4976,4908,5329,4630,6810,4366
"24",24,6293,325880,8642,8418,9417,7432,11107,6719
"25",25,6419,414480,9939,9169,11031,9242,15777,8176
"26",26,1346,42389,1787,1594,1827,1469,2222,1554
"27",27,204244,120691296,298660,268504,317234,329616,469119,278240
"28",28,2931,106839,4316,4110,4642,4597,5174,3697
"29",29,2821,136430,4119,3758,4895,4024,6353,3880
"30",30,4087,111294,5983,6019,7468,6557,11131,6022
"31",31,8453,872664,11855,10928,12082,11544,15382,10781
"32",32,2023,85110,2614,2526,2675,2145,3157,1741
"33",33,1764,60921,2948,2755,3499,2980,4819,2983
"34",34,6671,410545,9120,8245,9483,8007,13033,8190
"35",35,1316,51208,1415,1212,1438,1168,1674,1136
"36",36,2683,117843,3323,3106,3635,3090,4315,3108
"37",37,1873,80487,2431,2236,2313,1746,2674,1620
"38",38,2975,68533,3731,3542,4061,3549,4678,3170
"39",39,750,12012,1001,754,1032,770,1218,806
"40",40,3618,155991,5479,5302,6328,5270,9144,4754
"41",41,1312,34060,1629,1660,1471,1272,1712,1100
"42",42,3110,169752,5221,4632,4718,4410,7320,3799
"43",43,3472,158088,5921,5174,7016,5496,10553,5186
"44",44,889,18620,1161,1218,1435,1142,1483,999
"45",45,2114,145740,2510,2439,2571,1752,2973,2054
"46",46,3448,168202,4631,4039,4344,3589,6167,3200
"47",47,3055,127320,4595,4274,5396,3870,7111,4128
"48",48,3145,104175,4457,4355,5581,4801,7737,4303
"49",49,3707,259210,6185,6039,6941,5424,9233,5676
"50",50,8856,461978,10997,9497,10450,9093,12475,6672
"51",51,1806,62188,2220,2351,2331,1866,2674,1606
"52",52,4648,215357,7154,6811,8511,7384,11968,6514
"53",53,3193,160720,3889,3979,3697,3534,4587,2596
"54",54,1736,60753,1948,1941,1827,1576,2262,1471
"55",55,14854,1426112,27073,23168,30102,28589,46067,24757
"56",56,7408,950950,11587,10690,11754,10740,16542,9243
"57",57,2151,97512,3187,2869,3074,2595,4098,2515
"58",58,3998,264816,6460,5640,6420,6016,8449,5360
"59",59,1592,46176,2076,2004,1827,1681,1981,1384
"60",60,5153,537540,6954,6407,6806,5926,8975,4778
"61",61,2123,80520,2942,2870,3359,2559,4005,2595
"62",62,98339,25464999,135852,124752,137558,142251,196972,118768
"63",63,943,21720,1115,991,1166,834,1306,779
"64",64,1970,136260,3005,2798,3098,2454,4494,2342
"65",65,2811,146039,3801,3532,3824,2909,4996,2911
"66",66,8405,411488,12649,12892,14943,13680,20657,12045
"67",67,1540,48024,2146,2019,1806,1750,2148,1141
"68",68,2274,109629,2783,2630,3140,2421,4009,2083
"69",69,47925,11981004,67519,62090,63750,64531,82504,52347
"70",70,8727,459195,16939,15308,23135,20693,39072,18597
"71",71,6120,239952,11742,10330,15049,13405,25020,11745
"72",72,1711,66312,3004,2819,3199,2158,4603,2632
"73",73,15768,2048780,26343,23520,28630,26161,46312,23607
"74",74,4887,162864,6946,6552,8107,6552,11781,5797
"75",75,1609,64656,2635,2566,2588,2250,3456,2216
"76",76,2161,89790,2925,2907,2864,2294,3497,2345
"77",77,3153,165072,4781,4460,5230,4177,6796,3958
"78",78,740,21888,1033,1016,1052,794,1222,882
"79",79,3027,146540,4800,4549,5204,4466,7142,4043
"80",80,1735,62816,2599,2462,2746,2294,3541,2041
"81",81,2519,83644,3740,3687,4307,3261,6063,3205
"82",82,30263,3046608,48597,42249,57563,50562,88581,47350
"83",83,1732,55198,2372,2346,2495,2019,3373,1943
"84",84,975,36600,1389,1219,1407,1074,1881,1045
"85",85,7389,485040,11261,9755,11183,12761,15463,8252
"86",86,9212,544502,16663,15590,22162,18664,36038,17326
"87",87,2016,95568,2801,2554,2795,2174,3540,2057
"88",89,NA,NA,NA,NA,NA,679,NA,NA
